"","ACTIONID","Count","predict","group","district","town"
"187","DI00401652",2,1.58798398268398,1,"內湖區","行善里"
"203","DI00404167",2,1.73432496796327,1,"內湖區","東湖里"
"227","DI00406682",2,1.56829946497946,1,"文山區","興旺里"
"242","DI00407687",2,1.51850952380952,1,"北投區","大同里"
"243","DI00407776",2,1.53255024350472,1,"大同區","永樂里"
"245","DI00407813",2,1.56130268620269,1,"內湖區","秀湖里"
"251","DI00408214",2,1.59372295796415,1,"北投區","中央里"
"257","DI00408460",2,1.59468484848485,1,"內湖區","湖濱里"
"262","DI00408870",2,1.55375553335553,1,"萬華區","日祥里"
"263","DI00408889",2,1.67115334665335,1,"士林區","天福里"
"274","DI00409567",2,1.66096666666667,1,"南港區","新富里"
"287","DV00579181",2,1.61591369047619,1,"大安區","正聲里"
"303","DV00591804",2,1.56155943778444,1,"大安區","通化里"
"306","DV00592544",2,1.50389677544456,1,"內湖區","瑞光里"
"335","DV00622823",2,1.70263753999624,1,"萬華區","新起里"
"336","DV00622941",2,1.63285021645022,1,"內湖區","港富里"
"340","DV00628421",2,1.5297746031746,1,"北投區","中央里"
"345","DV00634005",2,1.51959343434343,1,"中正區","廈安里"
"361","DV00651768",2,1.51704896480331,1,"大安區","龍圖里"
"375","DV00657246",2,1.69976666666667,1,"信義區","松友里"
"396","DV00667395",2,1.57223484480079,1,"中山區","朱園里"
"409","DV00668612",2,1.5205924972666,1,"內湖區","港華里"
"410","DV00668652",2,1.68383333333333,1,"大同區","鄰江里"
"434","DV00675809",2,1.54239852369852,1,"內湖區","安泰里"
"438","DV00676381",2,1.6068,1,"士林區","葫蘆里"
"447","DV00677711",2,1.55491904761905,1,"松山區","吉祥里"
"461","DV00679250",2,1.72629714817125,1,"松山區","美仁里"
"466","DV00679967",2,1.53639030702191,1,"北投區","吉慶里"
"475","DV00680975",2,1.74138607503608,1,"中正區","螢圃里"
"477","DV00681249",2,1.66320328252263,1,"內湖區","港墘里"
"482","DV00682199",2,1.65259881037435,1,"大安區","龍圖里"
"486","DV00683486",2,1.54887747931617,1,"萬華區","新忠里"
"496","DV00686106",2,1.67901064327829,1,"內湖區","五分里"
"507","DV00688200",2,1.51249523809524,1,"中正區","螢雪里"
"514","DV00689777",2,1.60321717171717,1,"北投區","智仁里"
"522","DV00691162",2,1.64572017928677,1,"中山區","恆安里"
"526","DV00692956",2,1.50983333333333,1,"北投區","福興里"
"529","DV00693586",2,1.57304761904762,1,"內湖區","西湖里"
"532","DV00694320",2,1.56337716993152,1,"南港區","西新里"
"534","DV00694607",2,1.50668095238095,1,"大安區","昌隆里"
"544","DV00695398",2,1.65120572646791,1,"內湖區","港富里"
"545","DV00695409",2,1.51327222222222,1,"北投區","裕民里"
"553","DV00696426",2,1.5573,1,"士林區","義信里"
"560","DV00697624",2,1.59918218448218,1,"萬華區","新安里"
"561","DV00697835",2,1.53147270217705,1,"大安區","義安里"
"570","DV00699897",2,1.53118897447582,1,"北投區","立農里"
"591","DV00703491",2,1.52311091819747,1,"內湖區","五分里"
"593","DV00703973",2,1.50506984126984,1,"內湖區","紫星里"
"604","DV00705910",2,1.54226666666667,1,"萬華區","興德里"
"613","DV00707664",2,1.7334613969364,1,"萬華區","新安里"
"620","DV00709618",2,1.52941111111111,1,"士林區","福佳里"
"645","DV00715301",2,1.54670555555556,1,"中山區","江山里"
"647","DV00715571",2,1.57702203548086,1,"內湖區","瑞光里"
"653","DV00717441",2,1.68204588744589,1,"文山區","萬和里"
"656","DV00718007",2,1.64802004662005,1,"內湖區","碧山里"
"661","DV00718574",2,1.50846237580567,1,"萬華區","新安里"
"666","DV00719382",2,1.63447222222222,1,"南港區","新富里"
"668","DV00719936",2,1.50615,1,"中正區","富水里"
"670","DV00720110",2,1.678374813516,1,"南港區","東新里"
"694","DV00724429",2,1.5951,1,"士林區","社新里"
"711","DV00726822",2,1.60128095238095,1,"內湖區","西湖里"
"720","DVP0136896",2,1.56511632507278,1,"大同區","斯文里"
"727","DVP0137674",2,1.5597,1,"文山區","樟文里"
"741","DVP0138750",2,1.62613333333333,1,"士林區","福志里"
"743","DVP0138760",2,1.78744576859922,1,"北投區","石牌里"
"773","DVP0141525",2,1.7399425545469,1,"松山區","吉祥里"
"779","DVP0142421",2,1.70924248505118,1,"大安區","全安里"
"791","DVP0142922",2,1.67370199221963,1,"文山區","興安里"
"807","DVP0144705",2,1.51066666666667,1,"士林區","天祿里"
"812","DVP0145294",2,1.54045323842824,1,"大安區","誠安里"
"813","DVP0145296",2,1.5091921029241,1,"大安區","誠安里"
"818","DVP0146286",2,1.53685934065934,1,"北投區","一德里"
"822","DVP0146636",2,1.69212051661788,1,"萬華區","和平里"
"826","DVP0147258",2,1.50559841269841,1,"松山區","安平里"
"827","DVP0147269",2,1.92449637747102,1,"松山區","新益里"
"829","DVP0147619",2,1.6043851037851,1,"信義區","五全里"
"848","DVP0148982",2,1.50684213563992,1,"大同區","重慶里"
"855","DVP0149250",2,1.68834121224991,1,"萬華區","銘德里"
"857","DVP0150146",2,1.59498802308802,1,"北投區","榮華里"
"863","DVP0151449",2,1.62171322816968,1,"士林區","社園里"
"864","DVP0151462",2,1.72802594604881,1,"松山區","東光里"
"866","DVP0151591",2,1.60691616161616,1,"內湖區","石潭里"
"872","DVP0152178",2,1.51681666666667,1,"文山區","興家里"
"875","DVP0152373",2,1.59583711484594,1,"中正區","文盛里"
"877","DVP0152450",2,1.74993549295233,1,"文山區","博嘉里"
"879","DVP0152800",2,1.54375,1,"萬華區","頂碩里"
"886","DVP0153051",2,1.51597948717949,1,"士林區","三玉里"
"900","DVP0154511",2,1.68361330624491,1,"大安區","芳和里"
"905","DVP0155126",2,1.68140548340548,1,"北投區","榮光里"
"909","DVP0155760",2,1.74237986869397,1,"北投區","一德里"
"910","DVP0155761",2,1.56024761904762,1,"士林區","東山里"
"911","DVP0155766",2,1.89191928302084,1,"北投區","一德里"
"929","DVP0157320",2,1.66087548887894,1,"士林區","東山里"
"933","DVP0157814",2,1.57664285714286,1,"文山區","興豐里"
"940","DVP0158545",2,1.67704761904762,1,"內湖區","東湖里"
"942","DVP0158755",2,1.54476666666667,1,"中正區","新營里"
"947","DVP0159430",2,1.6315317016317,1,"內湖區","湖濱里"
"979","DVP0162387",2,1.50013917748918,1,"內湖區","港華里"
"986","DVP0163426",2,1.5970696969697,1,"內湖區","葫洲里"
"996","DVP0164248",2,1.54373333333333,1,"松山區","民有里"
"1010","DVP0165468",2,1.68648519509165,1,"大安區","臨江里"
"1011","DVP0165596",2,1.63536205285942,1,"萬華區","糖?里"
"1012","DVP0165970",2,1.56225333333333,1,"中正區","南福里"
"1026","DVP0166793",2,1.58132655677656,1,"中山區","康樂里"
"1033","DVP0167403",2,1.63293333333333,1,"士林區","福佳里"
"1040","DVP0168172",2,1.57560827505828,1,"文山區","明義里"
"1041","DVP0168225",2,1.5291,1,"大同區","鄰江里"
"1065","DVP0170820",2,1.73667991042064,1,"萬華區","新安里"
"1076","DVP0171548",2,1.55592220807866,1,"北投區","清江里"
"1078","DVP0171705",2,1.50140064945947,1,"松山區","鵬程里"
"1081","DVP0171917",2,1.61226428571429,1,"松山區","民有里"
"1082","DVP0171918",2,1.54682969089734,1,"士林區","天玉里"
"1090","DVP0172791",2,1.50019063159063,1,"士林區","社新里"
"1093","DVP0172999",2,1.55134517704518,1,"北投區","中和里"
"1103","DVP0173733",2,1.52716666666667,1,"大安區","龍圖里"
"1114","DVP0174870",2,1.6704064516129,1,"內湖區","葫洲里"
"1121","DVP0175252",2,1.64331465795187,1,"信義區","三張里"
"1122","DVP0175254",2,1.56451273726274,1,"信義區","三張里"
"1125","DVP0175922",2,1.55538333333333,1,"大安區","全安里"
"1127","DVP0175928",2,1.58769991674992,1,"大安區","全安里"
"1137","DVP0176546",2,1.6705,1,"松山區","新東里"
"1145","DVP0177444",2,1.66109567099567,1,"士林區","天山里"
"1155","DVP0178989",2,1.60720290388356,1,"北投區","清江里"
"1156","DVP0178990",2,1.648069544076,1,"大安區","龍圖里"
"1157","DVP0179060",2,1.55664105339105,1,"大同區","星明里"
"1158","DVP0179065",2,1.70969693639694,1,"大同區","星明里"
"1165","DVP0179492",2,1.67663717241364,1,"士林區","社園里"
"1187","DVP0181984",2,1.55403572164795,1,"中山區","恆安里"
"1198","DVP0183567",2,1.61999090909091,1,"大同區","保安里"
"1199","DVP0183599",2,1.65785826771619,1,"北投區","開明里"
"1204","DVP0183934",2,1.59311466420574,1,"士林區","福華里"
"1205","DVP0184016",2,1.59366666666667,1,"內湖區","金龍里"
"1212","DVP0184565",2,1.77540481614709,1,"北投區","中和里"
"1213","DVP0184587",2,1.54372988765399,1,"士林區","福順里"
"1232","DVP0185942",2,1.63435792540793,1,"大安區","敦煌里"
"1252","DVP0187732",2,1.58760158730159,1,"北投區","稻香里"
"1255","DVP0187827",2,1.58518815628816,1,"內湖區","五分里"
"1269","DVP0188975",2,1.54866726230082,1,"信義區","西村里"
"1277","DVP0189375",2,1.67940791963806,1,"大安區","通安里"
"1282","DVP0189602",2,1.54675235669219,1,"大安區","黎和里"
"1289","DVP0190036",2,1.58067546429956,1,"大同區","至聖里"
"1290","DVP0190040",2,1.62982099634665,1,"大同區","至聖里"
"1291","DVP0190354",2,1.5755,1,"內湖區","石潭里"
"1301","DVP0191282",2,1.57239047619048,1,"南港區","東新里"
"1306","DVP0191675",2,1.81334507198228,1,"士林區","福林里"
"1308","DVP0191908",2,1.54288296703297,1,"士林區","天和里"
"1326","DVP0193440",2,1.6015,1,"北投區","裕民里"
"1332","DVP0194037",2,1.52691666666667,1,"文山區","興業里"
"1338","DVP0194552",2,1.59519450549451,1,"大同區","重慶里"
"1355","DVP0195606",2,1.64451887846453,1,"大安區","古莊里"
"1362","DVP0196009",2,1.53316666666667,1,"大安區","群賢里"
"1371","DVP0197076",2,1.77115896087117,1,"內湖區","港墘里"
"1373","DVP0197599",2,1.53138148231697,1,"內湖區","東湖里"
"1378","DVP0198184",2,1.61636651717431,1,"士林區","福志里"
"1385","DVP0198627",2,1.6664,1,"北投區","榮華里"
"1391","DVP0198967",2,1.7284823010323,1,"士林區","葫蘆里"
"1407","DVP0200691",2,1.51628095238095,1,"內湖區","五分里"
"1429","DVP0202734",2,1.58636779201898,1,"北投區","中央里"
"1430","DVP0202848",2,1.56289778788463,1,"大安區","黎元里"
"1435","DVP0203121",2,1.50190534615256,1,"松山區","慈祐里"
"1439","DVP0203477",2,1.56190285028981,1,"松山區","龍田里"
"1443","DVP0203559",2,1.7547,1,"內湖區","安湖里"
"1451","DVP0204752",2,1.59139235588972,1,"大安區","德安里"
"1467","DVP0205608",2,1.65025609461413,1,"大同區","延平里"
"1472","DVP0205749",2,1.65802326007326,1,"大安區","龍生里"
"1473","DVP0205756",2,1.80506466907877,1,"中正區","廈安里"
"1476","DVP0205954",2,1.63305555555556,1,"中正區","河堤里"
"1482","DVP0206633",2,1.65045757575758,1,"士林區","蘭興里"
"1483","DVP0206653",2,1.70078360853706,1,"中山區","中原里"
"1485","DVP0206676",2,1.70078360853706,1,"中山區","中原里"
"1489","DVP0207327",2,1.53544444444444,1,"北投區","榮光里"
"1490","DVP0207407",2,1.56652982322115,1,"北投區","中庸里"
"1499","DVP0207907",2,1.80676021004769,1,"南港區","東新里"
"1504","DVP0208283",2,1.52603333333333,1,"北投區","關渡里"
"1510","DVP0208694",2,1.56663333333333,1,"北投區","中心里"
"1517","DVP0209058",2,1.72991466722877,1,"北投區","文化里"
"1518","DVP0209063",2,1.55692918213908,1,"北投區","稻香里"
"1520","DVP0209287",2,1.85139466619213,1,"萬華區","新忠里"
"1525","DVP0209903",2,1.54245555555556,1,"內湖區","石潭里"
"1530","DVP0210656",2,1.52477922077922,1,"萬華區","福音里"
"1536","DVP0211106",2,1.66662322687983,1,"士林區","天和里"
"1556","DVP0212736",2,1.50326111111111,1,"內湖區","港墘里"
"1558","DVP0212906",2,1.56891904761905,1,"士林區","新安里"
"1570","DVP0213421",2,1.74872037278075,1,"士林區","天祿里"
"1577","DVP0213644",2,1.5295126984127,1,"萬華區","新安里"
"1579","DVP0213660",2,1.60692224083106,1,"士林區","天和里"
"1583","DVP0213927",2,1.59373590526587,1,"士林區","福林里"
"1584","DVP0214112",2,1.52492240537241,1,"士林區","翠山里"
"1589","DI00400238",1,1.82298628418365,1,"文山區","華興里"
"1616","DI00401023",1,1.63315714285714,1,"松山區","莊敬里"
"1634","DI00401536",1,1.61036400710401,1,"文山區","樟文里"
"1646","DI00402127",1,1.54243333333333,1,"大安區","敦煌里"
"1660","DI00402529",1,1.537,1,"北投區","立農里"
"1663","DI00402643",1,1.52766666666667,1,"文山區","興福里"
"1702","DI00403939",1,1.8101684540755,1,"北投區","永明里"
"1715","DI00404255",1,1.57663333333333,1,"文山區","樟林里"
"1716","DI00404291",1,1.51018968253968,1,"大安區","龍陣里"
"1717","DI00404302",1,1.51786666666667,1,"萬華區","日善里"
"1734","DI00404868",1,1.64458583745562,1,"文山區","明興里"
"1748","DI00405083",1,1.53729158815041,1,"內湖區","湖興里"
"1749","DI00405089",1,1.60333974195739,1,"南港區","成福里"
"1775","DI00405828",1,1.70578086913087,1,"中正區","螢雪里"
"1778","DI00405908",1,1.50796666666667,1,"北投區","永明里"
"1783","DI00406052",1,1.58365396825397,1,"萬華區","糖?里"
"1823","DI00407033",1,1.54488333333333,1,"南港區","玉成里"
"1841","DI00407369",1,1.52418124098124,1,"南港區","重陽里"
"1844","DI00407412",1,1.50780957375957,1,"信義區","松光里"
"1850","DI00407465",1,1.83525163403472,1,"萬華區","雙園里"
"1852","DI00407546",1,1.57402573681624,1,"士林區","天玉里"
"1854","DI00407586",1,1.55830158730159,1,"文山區","興邦里"
"1883","DI00408213",1,1.54878095238095,1,"內湖區","港華里"
"1891","DI00408397",1,1.54513892773893,1,"北投區","中央里"
"1894","DI00408492",1,1.58255,1,"大安區","民炤里"
"1901","DI00408600",1,1.53731428571429,1,"文山區","興福里"
"1942","DI00409260",1,1.73651404395749,1,"士林區","名山里"
"1956","DI00409449",1,1.51258484848485,1,"內湖區","麗山里"
"1959","DI00409455",1,1.55841563146998,1,"文山區","木柵里"
"1964","DI00409607",1,1.52129525096103,1,"內湖區","五分里"
"1974","DI00409739",1,1.50753333333333,1,"信義區","黎平里"
"1995","DI00410189",1,1.5035119047619,1,"文山區","忠順里"
"1996","DI00410191",1,1.51649023464458,1,"文山區","忠順里"
"2021","DV00579204",1,1.58726133126133,1,"士林區","名山里"
"2029","DV00580486",1,1.50374163614164,1,"內湖區","瑞陽里"
"2031","DV00581222",1,1.67270303030303,1,"文山區","萬芳里"
"2047","DV00584466",1,1.5255188034188,1,"內湖區","西湖里"
"2055","DV00586324",1,1.59897961054646,1,"文山區","興福里"
"2069","DV00589923",1,1.51006666666667,1,"文山區","忠順里"
"2070","DV00590075",1,1.64998701298701,1,"內湖區","紫陽里"
"2073","DV00590401",1,1.53046129506564,1,"中山區","晴光里"
"2121","DV00604581",1,1.68453393159612,1,"松山區","精忠里"
"2139","DV00607384",1,1.5183905982906,1,"大安區","龍陣里"
"2168","DV00615481",1,1.53573296703297,1,"士林區","忠誠里"
"2195","DV00621622",1,1.53703333333333,1,"信義區","嘉興里"
"2232","DV00633857",1,1.5474,1,"中山區","復華里"
"2239","DV00634769",1,1.51032597113032,1,"士林區","仁勇里"
"2255","DV00637767",1,1.51862222222222,1,"信義區","五常里"
"2257","DV00639353",1,1.6665942057942,1,"文山區","萬祥里"
"2262","DV00640065",1,1.55256666666667,1,"內湖區","安泰里"
"2286","DV00645381",1,1.58308787878788,1,"大安區","和安里"
"2291","DV00646571",1,1.59863095238095,1,"大同區","建明里"
"2303","DV00650743",1,1.51066666666667,1,"內湖區","康寧里"
"2309","DV00652226",1,1.55694562770563,1,"中山區","中央里"
"2310","DV00652483",1,1.50055,1,"南港區","新富里"
"2318","DV00655361",1,1.52125342864013,1,"內湖區","港富里"
"2328","DV00658043",1,1.70885604617039,1,"信義區","三犁里"
"2355","DV00663641",1,1.51770885225885,1,"信義區","興雅里"
"2366","DV00665784",1,1.53625757575758,1,"南港區","舊莊里"
"2370","DV00666181",1,1.57613333333333,1,"信義區","中行里"
"2371","DV00666313",1,1.50560692640693,1,"信義區","黎安里"
"2378","DV00666599",1,1.52179420289855,1,"內湖區","清白里"
"2382","DV00666964",1,1.64582167113932,1,"大安區","龍圖里"
"2406","DV00668483",1,1.62081592193622,1,"士林區","福華里"
"2415","DV00669311",1,1.6135,1,"松山區","中崙里"
"2437","DV00671518",1,1.53996666666667,1,"南港區","合成里"
"2443","DV00672327",1,1.61581357063767,1,"士林區","明勝里"
"2447","DV00672670",1,1.52153748473748,1,"大安區","住安里"
"2448","DV00672732",1,1.54427816878462,1,"文山區","萬隆里"
"2452","DV00672877",1,1.55093333333333,1,"文山區","順興里"
"2455","DV00673217",1,1.53423218559218,1,"文山區","興福里"
"2470","DV00674380",1,1.53893650793651,1,"文山區","樟新里"
"2510","DV00677587",1,1.50026666666667,1,"萬華區","新和里"
"2515","DV00678054",1,1.62530332421202,1,"南港區","中研里"
"2516","DV00678141",1,1.51582741953387,1,"信義區","雙和里"
